Number,Name,Country,Region,Type,Activity Evidence,Last Known Eruption,Latitude,Longitude,Elevation (Meters),Dominant Rock Type,Tectonic Setting
261020,Seulawah Agam,Indonesia,Indonesia,Stratovolcano,Eruption Observed,1839 CE,5.448,95.658,1810,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
261030,Peuet Sague,Indonesia,Indonesia,Complex,Eruption Observed,2000 CE,4.914,96.329,2801,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
261050,"Telong, Bur ni",Indonesia,Indonesia,Stratovolcano,Eruption Observed,1937 CE,4.769,96.821,2617,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
261070,Singkut,Indonesia,Indonesia,Caldera(s),Eruption Observed,1881 CE,3.248,98.501,2181,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
261080,Sinabung,Indonesia,Indonesia,Stratovolcano,Eruption Observed,2016 CE,3.17,98.392,2460,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
261090,Toba,Indonesia,Indonesia,Caldera,Evidence Credible,Unknown,2.58,98.83,2157,Dacite,Subduction Zone / Continental Crust (>25 km)
261110,Sibualbuali,Indonesia,Indonesia,Stratovolcano,Evidence Uncertain,Unknown,1.556,99.255,1819,Dacite,Subduction Zone / Continental Crust (>25 km)
261111,Lubukraya,Indonesia,Indonesia,Stratovolcano,Evidence Uncertain,Unknown,1.478,99.209,1862,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
261120,Sorikmarapi,Indonesia,Indonesia,Stratovolcano,Eruption Observed,1986 CE,0.686,99.539,2145,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
261121,Malintang,Indonesia,Indonesia,Stratovolcano,Evidence Credible,Unknown,0.47,99.67,1983,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
261130,Talakmau,Indonesia,Indonesia,Complex,Evidence Credible,Unknown,0.079,99.98,2919,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
261131,Sarik-Gajah,Indonesia,Indonesia,Pyroclastic cone(s),Evidence Uncertain,Unknown,0.08,100.2,0,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
261140,Marapi,Indonesia,Indonesia,Complex,Eruption Observed,2015 CE,-0.381,100.473,2891,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
261150,Tandikat-Singgalang,Indonesia,Indonesia,Stratovolcano(es),Eruption Observed,1924 CE,-0.39,100.331,2854,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
261160,Talang,Indonesia,Indonesia,Stratovolcano,Eruption Observed,2007 CE,-0.978,100.679,2597,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
261170,Kerinci,Indonesia,Indonesia,Stratovolcano,Eruption Observed,2016 CE,-1.697,101.264,3800,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
261171,Kunyit,Indonesia,Indonesia,Stratovolcano,Unrest / Holocene,Unknown,-2.274,101.483,2151,Dacite,Subduction Zone / Continental Crust (>25 km)
261172,Hutapanjang,Indonesia,Indonesia,Stratovolcano,Evidence Credible,Unknown,-2.33,101.6,2021,No Data,Subduction Zone / Continental Crust (>25 km)
261180,Sumbing,Indonesia,Indonesia,Stratovolcano,Eruption Observed,1921 CE,-2.414,101.728,2507,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
261191,Pendan,Indonesia,Indonesia,Unknown,Evidence Credible,Unknown,-2.82,102.02,0,No Data,Subduction Zone / Continental Crust (>25 km)
261200,Belirang-Beriti,Indonesia,Indonesia,Compound,Unrest / Holocene,Unknown,-2.82,102.18,1958,Basalt / Picro-Basalt,Subduction Zone / Continental Crust (>25 km)
261210,"Daun, Bukit",Indonesia,Indonesia,Stratovolcano(es),Unrest / Holocene,Unknown,-3.38,102.37,2467,Basalt / Picro-Basalt,Subduction Zone / Continental Crust (>25 km)
261220,Kaba,Indonesia,Indonesia,Stratovolcano,Eruption Observed,2000 CE,-3.52,102.62,1952,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
261230,Dempo,Indonesia,Indonesia,Stratovolcano(es),Eruption Observed,2009 CE,-4.03,103.13,3173,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
261231,Patah,Indonesia,Indonesia,Stratovolcano?,Unrest / Holocene,Unknown,-4.27,103.3,2817,No Data,Subduction Zone / Continental Crust (>25 km)
261240,"Lumut Balai, Bukit",Indonesia,Indonesia,Stratovolcano?,Unrest / Holocene,Unknown,-4.22,103.62,2055,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
261250,Besar,Indonesia,Indonesia,Stratovolcano?,Eruption Observed,1940 CE,-4.43,103.67,1899,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
261251,Ranau,Indonesia,Indonesia,Caldera,Evidence Uncertain,Unknown,-4.83,103.92,1881,Dacite,Subduction Zone / Continental Crust (>25 km)
261260,Sekincau Belirang,Indonesia,Indonesia,Caldera(s),Unrest / Holocene,Unknown,-5.107,104.317,1717,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
261270,Suoh,Indonesia,Indonesia,Caldera(s),Eruption Observed,1933 CE,-5.25,104.27,1000,No Data,Subduction Zone / Continental Crust (>25 km)
261280,Hulubelu,Indonesia,Indonesia,Caldera,Unrest / Holocene,Unknown,-5.334,104.59,849,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
261290,Rajabasa,Indonesia,Indonesia,Stratovolcano,Unrest / Holocene,Unknown,-5.78,105.625,1281,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
261800,Pulau Weh,Indonesia,Indonesia,Stratovolcano,Unrest / Pleistocene,Unknown,5.82,95.28,617,Unknown,Subduction Zone / Continental Crust (>25 km)
261809,Geureudong,Indonesia,Indonesia,Stratovolcano,Unrest / Pleistocene,Unknown,4.813,96.82,2885,Unknown,Subduction Zone / Continental Crust (>25 km)
261810,Kembar,Indonesia,Indonesia,Shield,Unrest / Pleistocene,Unknown,3.85,97.664,2245,Unknown,Subduction Zone / Continental Crust (>25 km)
262000,Krakatau,Indonesia,Indonesia,Caldera,Eruption Observed,2014 CE,-6.102,105.423,813,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
263010,Pulosari,Indonesia,Indonesia,Stratovolcano,Evidence Credible,Unknown,-6.342,105.975,1346,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
263020,Karang,Indonesia,Indonesia,Stratovolcano,Evidence Uncertain,Unknown,-6.27,106.042,1778,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
263040,Perbakti-Gagak,Indonesia,Indonesia,Stratovolcano(es),Eruption Observed,1939 CE,-6.75,106.7,1699,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
263050,Salak,Indonesia,Indonesia,Stratovolcano,Eruption Observed,1938 CE,-6.72,106.73,2211,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
263060,Gede-Pangrango,Indonesia,Indonesia,Stratovolcano(es),Eruption Observed,1957 CE,-6.77,106.965,3008,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
263070,Patuha,Indonesia,Indonesia,Stratovolcano,Evidence Credible,Unknown,-7.16,107.4,2434,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
263080,Wayang-Windu,Indonesia,Indonesia,Lava dome,Unrest / Pleistocene,Unknown,-7.213,107.637,2184,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
263090,Tangkubanparahu,Indonesia,Indonesia,Stratovolcano,Eruption Observed,2013 CE,-6.77,107.6,2084,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
263100,Papandayan,Indonesia,Indonesia,Stratovolcano(es),Eruption Observed,2002 CE,-7.32,107.73,2665,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
263110,Kendang,Indonesia,Indonesia,Stratovolcano,Evidence Credible,Unknown,-7.245,107.709,2594,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
263130,Guntur,Indonesia,Indonesia,Complex,Eruption Observed,1847 CE,-7.143,107.84,2249,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
263131,Tampomas,Indonesia,Indonesia,Stratovolcano,Evidence Credible,Unknown,-6.77,107.95,1684,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
263140,Galunggung,Indonesia,Indonesia,Stratovolcano,Eruption Observed,1984 CE,-7.25,108.058,2168,Basalt / Picro-Basalt,Subduction Zone / Continental Crust (>25 km)
263150,Talagabodas,Indonesia,Indonesia,Stratovolcano,Unrest / Holocene,Unknown,-7.208,108.07,2201,Basalt / Picro-Basalt,Subduction Zone / Continental Crust (>25 km)
263170,Cereme,Indonesia,Indonesia,Stratovolcano,Eruption Observed,1951 CE,-6.892,108.4,3078,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
263180,Slamet,Indonesia,Indonesia,Stratovolcano,Eruption Observed,2014 CE,-7.242,109.208,3428,Basalt / Picro-Basalt,Subduction Zone / Continental Crust (>25 km)
263200,Dieng Volcanic Complex,Indonesia,Indonesia,Complex,Eruption Observed,2009 CE,-7.2,109.92,2565,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
263210,Sundoro,Indonesia,Indonesia,Stratovolcano,Eruption Observed,1971 CE,-7.3,109.992,3136,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
